,doi,pubmed_id,title,subtype,subtypeDescription,creator,affilname,affiliation_city,affiliation_country,publicationName,aggregationType,volume,pageRange,citedby_count,abstract,include?,
689,10.1007/s11465-006-0034-y,,Tracking control of robot manipulators via output feedback linearization,ar,Article,Fei Y.,Shenzhen University,Shenzhen,China,Frontiers of Mechanical Engineering in China,Journal,1,329-335,5,"This paper presents a robot manipulator tracking controller based on output feedback linearization. A sliding mode perturbation observer (SPO) is designed to estimate unmeasurable states and system perturbations that involve system nonlinearities, disturbances and unmodelled dynamics. The use of SPO allows to input/output linearize and decouple the strongly coupled nonlinear robot manipulator system merely by the feedback of joint angles. The controller design does not need an accurate model of the robot manipulator. Simulation studies are undertaken based on a two-link robot manipulator to evaluate the proposed approach. The simulation results show that the proposed controller has more superior tracking control performance, with payload changing in a wide range, in comparison with a sliding mode controller (SMC) designed based on state feedback linearization with full states available.",,30
690,10.1007/s11465-006-0033-z,,A robot fuzzy motion planning approach in unknown environments,ar,Article,Fu Y.,Harbin Institute of Technology,Harbin,China,Frontiers of Mechanical Engineering in China,Journal,1,336-340,3,"A fuzzy robot motion planning approach is proposed in unknown environments for three-degree industrial robots. The proposed planning system is composed of several separate fuzzy units, which control individually each manipulator joint. Each unit combines a repelling influence, which is related to the nearby obstacle, with the attracting influence produced by the final manipulator configuration, to generate actuating command for each link. Effectiveness of the proposed approach is verified through simulation.",,30
696,10.1109/FIE.2006.322654,,Autonomous robots as a generic teaching tool,cp,Conference Paper,Howell A.,Binghamton University State University of New York,Binghamton,United States,"Proceedings - Frontiers in Education Conference, FIE",Conference Proceeding,,17-21,10,"An undergraduate bioengineering laboratory course using small autonomous robots has been developed to demonstrate control theory, learning, and behavior. The lab consists of several modules that demonstrate concepts in classical control theory, fuzzy logic, neural network control, and genetic algorithms. The autonomous agents are easy-to-build, inexpensive kit robots. Each robot functions independently in a real-world environment. Students program and retrieve data wirelessly using handheld computers. The hands-on nature of the lab modules engages students in ways that lectures, readings and software simulations cannot. By interacting with these robots, students directly experience the effects of unexpected environmental factors on designs and deviations from software simulations. The robots are easily adapted for use in many different aspects of two-year college and K-12 STEM education. Students are motivated to understand engineering, math and science principles in order to control the robots. Examples of use of the robots and modules by a local community college are presented",,30
697,10.1109/FIE.2006.322329,,An educational robotic workstation based on the Rhino XR4 robot,cp,Conference Paper,Soares L.R.,Universidade de Brasília,Brasilia,Brazil,"Proceedings - Frontiers in Education Conference, FIE",Conference Proceeding,,7-dic,4,"This article describes a locally developed educational robotic workstation for laboratory experiments on robotic manipulation. The station was implemented around the Rhino XR4 robot. Due to the station educational purposes, the Matlab computational environment was chosen for robot control and user interface. As only the mechanical structure of this desktop robot was purchased, the following tasks were undertaken. First, the design and construction of a novel robot controller. Second, the development of a Matlab toolbox that includes: generic robotic functions, specific functions for the Rhino robot, and a three-dimensional computer graphical simulator. Third, the development of a suitable programming environment for robot operation. Fourth, the development of laboratory experiments for teaching robotics. The user interface allows the students to program experiences on robotics, such as, direct and inverse kinematics, manipulation tasks, trajectory following and visual guided movements. Experiments can be performed with the robot or with its graphical simulator",,30
698,10.1109/cdc.2006.377344,,"Description of a Modeling, Simulation, Animation, and Real-Time Control (MoSART) environment for a broad class of dynamical systems",cp,Conference Paper,Rodriguez A.A.,Arizona State University,Tempe,United States,Proceedings of the IEEE Conference on Decision and Control,Conference Proceeding,,3906-3911,2,"This paper describes an interactive modeling, simulation, animation, and real-time control (MoSART) environment that is useful for controls education and research. The described MoSART environment is shown to be useful for analyzing, designing, visualizing, and evaluating control systems for a broad class of dynamical systems which include: a collection of pendulum/robotic systems, aircraft, helicopters, and other six degree-of-freedom systems. The environment - referred to as Control3D-Lab - is based on Microsoft Windows, Visual C++, Direct-3D, and MATLAB/Simulink. The environment can be used as a stand-alone application or together with MATLAB, Simulink, and toolboxes. When used as a standalone application, a friendly graphical user interface permits easy interaction. Users may select (via pull-down menus): systems, dynamical models, control laws, exogenous signals (including joystick inputs) and associated parameters, initial conditions, integration routines and associated parameters. When used with MATLAB, Simulink, and toolboxes, the above nominal features are significantly enhanced. In either case, the interface permits users to access the following (via pulldown menus): animation models, mesh properties, texture and lighting models, system-specific visual indicators, graphics to be displayed, animation/data display/storage rates, simulation control buttons, and extensive documentation. When Simulink is present, users can exploit extensive visualization and 3D animation features through provided and/or user-generated Simulink diagrams. This capability makes the developed environment very extensible with respect to mathematical models and control laws. Additionally, users may readily export simulation data to MATLAB/toolboxes for post-processing and further analysis. The environment also contains a suite of well documented (easy-to-modify) models and control laws that are implemented within the provided Simulink block diagrams. Provided (special) blocks enable ...
(Show More)",,30
699,10.1007/11840541_68,,Simbad: An autonomous robot simulation package for education and research,cp,Conference Paper,Hugues L.,Ginkgo Networks,Paris,France,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Book Series,4095 LNAI,831-842,47,"Simbad is an open source Java 3d robot simulator for scientific and educational purposes. It is mainly dedicated to researchers and programmers who want a simple basis for studying Situated Artificial Intelligence, Machine Learning, and more generally AI algorithms, in the context of Autonomous Robotics and Autonomous Agents. It is is kept voluntarily readable and simple for fast implementation in the field of Research and/or Education.

Moreover, Simbad embeds two stand-alone additional packages : a Neural Network library (feed-forward NN, recurrent NN, etc.) and an Artificial Evolution Framework for Genetic Algorithm, Evolutionary Strategies and Genetic Programming. These packages are targeted towards Evolutionary Robotics.

The Simbad Package is available from http://simbad.sourceforge.net/ under the conditions of the GPL (GNU General Public Licence).",,30
700,10.1007/0-387-34224-9_5,,Rule-based adaptive navigation for an intelligent educational mobile robot,ar,Article,Oprea M.,Universitatea Petrol-Gaze din Ploiesti,Ploiesti,Romania,IFIP International Federation for Information Processing,Book Series,204,35-43,1,"The paper presents a hybrid adaptation method that combines a knowledge-based approach with reinforcement learning and a simulated annealing technique, and is applied in the navigation of an educational mobile robot. The experimental results of simulations showed a good behaviour of the robot when doing an adaptive navigation in a dynamic environment by using the proposed hybrid method.",,30
705,10.1115/IMECE2005-81736,,Florida's First Coast manufacturing innovation partnership between industry and academia,cp,Conference Paper,Cox D.,University of North Florida,Jacksonville,United States,"American Society of Mechanical Engineers, Manufacturing Engineering Division, MED",Conference Proceeding,16-feb,925-931,0,"Joint industry-academia projects with regional industry have influenced creation of Florida’s First Coast Manufacturing Innovation Partnership (MIP). The development of MIP has the primary goals of project-centered innovations for technology transfer, training the regional workforce with relevance to industry, and sustainability of technology transfer through creation of high-technology jobs. The region known as Florida’s First Coast is one of the fastest growing in the nation and has received recent acclaim as a top location for new and emerging businesses and industries to relocate or expand. The importance of manufacturing to the economy is crucial. Every individual and industry depends on manufactured goods. This sector continues to account for 14% of US GDP and 11% of total US employment. One way to help expand the regional industrial base is to develop a shared resource support facility in the fields of manufacturing engineering and design. The first objective of MIP is to stimulate transformation of knowledge in design and manufacturing occurring in the academic domain to applied research and development in industry. This is accomplished with project-centered innovations developed using a shared manufacturing and design resource. The second objective of MIP is to develop partnerships with additional academic institutions with the common goal of producing students whose education satisfies the needs of the regional workforce with scientific and technological training with relevance to industry. This also includes a mentorship facet to attract and retain engineering students for the future. The third objective is to implement MIP for long-term sustainability of technology transfer and creation of high-technology jobs in the manufacturing engineering and design professions. Technology tools for innovation in advanced manufacturing, for example, robotics and automation, modular robotics, advanced manufacturing process development, manufacturing systems modeling, and simulation; and advanced design, for example, computer aided engineering including finite element modeling, design analysis, and rapid prototyping are used in support of projects in partnership with regional industrial companies. Joint industry-academic projects require the integration of research and the technical need of the partnering company. A critical level of innovation is accomplished with the outcomes of projects while providing a distinguishing educational background for the engineering graduates. Several partnership projects have been initiated under the auspices of MIP. These projects with local industry are outlined and serve as a platform for new and emerging projects for joint mutually beneficial collaboration between industry and academia.",,30
711,10.1017/S0263574704001031,,Learning control of robot manipulators by interactive simulation,ar,Article,Kelly R.,Adm. 1,Ensenada,Mexico,Robotica,Journal,23,515-520,4,"Control systems of robot manipulators offer many challenges in education where the students must learn robot dynamics and control structures, and understand relations between the control parameters and the systems performance. Interactive simulation is aimed at improving the understanding of and intuition for the abstract parts of the control of robot courses. This paper presents an application of interactive simulation to teach control systems of robots. The application considers a nonlinear robot arm and two control modules: position control and motion control. Students can directly manipulate graphical representation of the systems such as a choice among seven control structures, controller gains, and desired trajectories, and obtain instant feedback on the effects. These features make the interactive learning tool stimulating and of high pedagogical value.",,30
712,10.1002/rob.20053,,A tele-experiment on rover motor control via internet,ar,Article,Schilling K.,Julius-Maximilians-Universität Würzburg,Wurzburg,Germany,Journal of Robotic Systems,Journal,22,123-130,3,"Modern Internet and multimedia techniques enable experiments with remote hardware. This way engineering students can gather practical experience even in areas where their own university does not have the related equipment in place. The focus of this paper is on an experiment to develop a motor controller for a remote mobile robot. Implementation details of such an experiment are addressed with emphasis placed on the subject of tuning a PID controller for steering and speed adaptation of a rover. The complete experiment is conceived as a self-explaining learning unit on the web. The learning unit comprises material on theory, exercises to provide feedback to the student about his learning progress, simulations to study motor control effects, and finally the experiment with remote robot hardware. This paper presents software techniques to realize a robust system implementation, the educational considerations necessary to present the experiment material properly for the tele-education context, and experiences obtained during the use of this remote experiment in previously taught classes. © 2005 Wiley Periodicals, Inc.",,30
713,10.4271/2005-01-3015,,Desert research and technology study 2004 field trip report: EVA system results,cp,Conference Paper,Ross A.,National Aeronautics and Space Administration,"Washington, D.C.",United States,SAE Technical Papers,Journal,,,2,"The Advanced Extravehicular Activity (EVA) team of the National Aeronautics and Space Administration (NASA) Johnson Space Center (JSC) led the Desert Research and Technology Study (RATS) in September 2004, at various test site locations near Flagstaff, Arizona. The Desert RATS is a two-week integrated remote field site test with team members from several NASA centers, universities, and industry partners participating. The overall objective of the RATS is to investigate and evaluate prototype advanced EVA exploration systems and technologies in order to develop well-defined requirements for the Vision for Space Exploration. This is accomplished by conducting simulated planetary surface exploration activities. Shirtsleeve subjects and subjects in pressurized space suits perform tasks such as geologic field mapping, rock sample collection and analysis, and communication infrastructure deployment. New prototype hardware to assist in these exploration activities was developed and evaluated in 2004. The paper will discuss the new prototype hardware concepts and the results from field evaluations of that hardware. Additional test objectives were conducted, which include EVA communication and Informatics systems performance, human-robotic interaction, night EVA traverse lighting array effectiveness, simulated exploration mission control interaction, and education outreach activities. Lessons learned resulting from this year’s test and anticipated goals for next year’s test objectives will be presented.
Recommended Content
Technical Paper	Desert Research and Technology Studies 2006 Report
Technical Paper	A Comparison of Pressure Suit Systems Architectures for the Space Exploration Enterprise
Technical Paper	Opportunities and Hindrances to Collaborative Automotive Development",,30
715,10.3182/20050703-6-cz-1902.02291,,A conversational man-robot interface used in robotics education,cp,Conference Paper,Buiu C.,University Politehnica of Bucharest,Bucuresti,Romania,IFAC Proceedings Volumes (IFAC-PapersOnline),Conference Proceeding,16,109-114,0,"This paper presents a conversational interface that uses the speech recognition and synthesis and animation abilities of two Microsoft software agents in order to assure a more natural and efficient interface with an autonomous robot. The interface is used in the robotics educational process. The basic commands to be given by voice (back, right, etc.) and the control of the agents are implemented in Visual Basic. More complex control programs can be implemented and tested in Matlab and after that executed with a simple voice command. This program is used as a part of an integrated educational strategy in autonomous robotics and was evaluated by a group of students. First experimental results related to the use of this conversational interface compared to traditional robot simulation environments and control of real robots are presented in this paper with related discussions.",,30
717,10.1117/12.541141,,An on-the-ground simulator of autonomous docking and spacecraft servicing for research and education,cp,Conference Paper,Romano M.,Naval Postgraduate School,Monterey,United States,Proceedings of SPIE - The International Society for Optical Engineering,Conference Proceeding,5419,142-151,2,"On-orbit spacecraft servicing has become a realistic and promising space mission. The Autonomous Docking and Spacecraft Servicing Simulator (AUDASS), introduced in this paper, is a research facility for on-the-ground testing of proximity navigation, docking and satellite servicing technologies and for the experimental verification of dynamics models and control laws. Moreover, the test-bed constitutes a valuable educational tool for the university students directly involved in its design and exploitation. This paper presents the current status of the on-going development of the AUDASS simulator and reports the results of some preliminary tests. The AUDASS system consists of two independent robotic vehicles, a chaser and a target. The vehicles float, via air pads, on a polished granite table providing a frictionless support for the simulation in 2-D of the micro-gravity dynamics. The introduction of the paper provides a wide overview of the on-going research efforts to make autonomous docking and servicing of spacecraft a reality.",,30
718,10.1002/cae.20001,,Development and implementation of a MATLAB simulation project for a multidisciplinary graduate course in autonomous robotics,ar,Article,Joshi S.,"University of California, Davis",Davis,United States,Computer Applications in Engineering Education,Journal,12,54-64,14,"In this paper, we describe a MATLAB computer simulation course project implemented as part of an introductory graduate course in autonomous robotics at the University of California, Davis. The course consisted of students from Mechanical and Aeronautical Engineering, Psychology and Neuroscience, Electrical Engineering, and Computer Science. Creating a valuable class computer project experience for graduate students with greatly varying backgrounds is a challenging undertaking. Graduate students in different majors may have widely different educational backgrounds, field-specific language and culture, and computer background. It is a main result of this paper that a meaningful autonomous robotics computer project can be developed that allows students to be individually unique and creative, but at the same time allows each student to understand and share ideas, tools, and methods from all the other students. Simulation project conception, teamwork, implementation, results, and lessons learned are described. © 2004 Wiley Periodicals, Inc. Comput Appl Eng Educ 12: 54–64, 2004; Published online in Wiley InterScience (www.interscience.wiley.com); DOI 10.1002/cae.20001",,30
723,10.1145/1083310.1047569,,Pyro: A Python-based Versatile Programming Environment for Teaching Robotics,ar,Article,Blank D.,Bryn Mawr College,Bryn Mawr,United States,ACM Journal on Educational Resources in Computing,Journal,4,3,12,"In this article we describe a programming framework called Pyro, which provides a set of abstractions that allows students to write platform-independent robot programs. This project is unique because of its focus on the pedagogical implications of teaching mobile robotics via a top-down approach. We describe the background of the project, its novel abstractions, its library of objects, and the many learning modules that have been created from which curricula for different types of courses can be drawn. Finally, we explore Pyro from the students' perspective in a case study.",,30
724,10.1109/TE.2004.825547,,Fire-fighting mobile robotics and interdisciplinary design-comparative perspectives,ar,Article,Pack D.J.,United States Air Force Academy,Colorado Springs,United States,IEEE Transactions on Education,Journal,47,369-376,63,"The objective of this paper is to illustrate the benefits of an autonomous fire-fighting robot design competition as an effective tool for undergraduate education. It presents experiences at the United States Air Force Academy, USAF Academy, CO; Pennsylvania State University-Abington; and Trinity College, Hartford, CT, together with the results of the contest surveys conducted in collaboration with The Technion*Israel Institute of Technology, Haifa. The primary goal of the design project is to create an autonomous mobile robot that navigates through a maze searching for a fire (simulated by a burning candle), detects the candle's flame, extinguishes the flame, and returns to a designated starting location in the maze. The fire-fighting design contest promotes interdisciplinary design and teamwork. To accomplish the stated goal, students must integrate knowledge gained from such classes as engineering design, circuits, controls, signals and systems, computer programming, mathematics, and engineering mechanics. Within the three institutions, the contest has been successfully utilized as a foundation for a wide range of educational goals. These activities include freshman design, robotics courses, K-12 outreach, senior design projects, and undergraduate research.",,30
725,10.1109/WMTE.2004.1281337,,An interactive maze scenario with physical robots and other smart devices,cp,Conference Paper,Jansen M.,Universität Duisburg-Essen,Essen,Germany,Proceedings - 2nd IEEE International Workshop on Wireless and Mobile Technologies in Education,Conference Proceeding,,83-90,13,"This paper describes an educational application that combines handhelds (PDAs) and programmable Lego bricks in a classroom scenario that deals with the problem of letting a robot escape from a maze. It is specific to our setting that the problem can be solved both in the physical world by steering a Lego robot and in a simulated software environment on a PDA or on a PC. This approach enables the students to generate successful sets of rules in the simulation and to test these sets of rules later in physical mazes, or to create new types of mazes as challenges for known rule sets. In this paper we describe the technical setting for this scenario, different pedagogical scenarios and we will report an evaluation with a group of students in a school environment.",,30
726,10.1177/0278364904041325,,Human-centered robotics and interactive haptic simulation,ar,Article,Khatib O.,Stanford University,Palo Alto,United States,International Journal of Robotics Research,Journal,23,167-178,34,"A new field of robotics is emerging. Robots are today moving towards applications beyond the structured environment of a manufacturing plant. They are making their way into the everyday world that people inhabit. This paper focuses on models, strategies, and algorithms associated with the autonomous behaviors needed for robots to work, assist, and cooperate with humans. In addition to the new capabilities they bring to the physical robot, these models and algorithms and, more generally, the body of developments in robotics is having a significant impact on the virtual world. Haptic interaction with an accurate dynamic simulation provides unique insights into the real-world behaviors of physical systems. The potential applications of this emerging technology include virtual prototyping, animation, surgery, robotics, cooperative design, and education among many others. Haptics is one area where the computational requirement associated with the resolution in real time of the dynamics and contact forces of the virtual environment is particularly challenging. This paper describes various methodologies and algorithms that address the computational challenges associated with interactive simulations involving multiple contacts and impacts between human-like structures.",,30
727,10.4271/2004-01-2481,,Advanced integration matrix education outreach,cp,Conference Paper,Paul H.,NASA Johnson Space Center,Houston,United States,SAE Technical Papers,Journal,,,0,"The Advanced Integration Matrix (AIM) will design a ground-based test facility for developing revolutionary integrated systems for joint human-robotic missions in order to study and solve systems-level integration issues for exploration missions beyond Low Earth Orbit (LEO). This paper describes development plans for educational outreach activities related to technological and operational integration scenarios similar to the challenges that will be encountered through this project. The education outreach activities will provide hands-on, interactive exercises to allow students of all levels to experience design and operational challenges similar to what NASA deals with everyday in performing the integration of complex missions. These experiences will relate to and impact students' everyday lives by demonstrating how their interests in science and engineering can develop into future careers, and reinforcing the concepts of teamwork and conflict resolution. Allowing students to experience and contribute to real-world development, research, and scientific studies of ground-based simulations for complex exploration missions will stimulate interest in the space program, and bring NASA's challenges to the student level. By enhancing existing educational programs and developing innovative activities and presentations, AIM will support NASA's endeavor to “inspire the next generation of explorers…as only NASA can.”",,30
728,10.1023/B:AGNT.0000009411.79208.f4,,Automated assistants for analyzing team behaviors,ar,Article,Nair R.,University of Southern California,Los Angeles,United States,Autonomous Agents and Multi-Agent Systems,Journal,8,69-111,22,"Multi-agent teamwork is critical in a large number of agent applications, including training, education, virtual enterprises and collective robotics. The complex interactions of agents in a team as well as with other agents make it extremely difficult for human developers to understand and analyze agent-team behavior. It has thus become increasingly important to develop tools that can help humans analyze, evaluate, and understand team behaviors. However, the problem of automated team analysis is largely unaddressed in previous work. In this article, we identify several key constraints faced by team analysts. Most fundamentally, multiple types of models of team behavior are necessary to analyze different granularities of team events, including agent actions, interactions, and global performance. In addition, effective ways of presenting the analysis to humans is critical and the presentation techniques depend on the model being presented. Finally, analysis should be independent of underlying team architecture and implementation.

We also demonstrate an approach to addressing these constraints by building an automated team analyst called ISAAC for post-hoc, off-line agent-team analysis. ISAAC acquires multiple, heterogeneous team models via machine learning over teams' external behavior traces, where the specific learning techniques are tailored to the particular model learned. Additionally, ISAAC employs multiple presentation techniques that can aid human understanding of the analyses. ISAAC also provides feedback on team improvement in two novel ways: (i) It supports principled “what-if” reasoning about possible agent improvements; (ii) It allows the user to compare different teams based on their patterns of interactions. This paper presents ISAAC's general conceptual framework, motivating its design, as well as its concrete application in two domains: (i) RoboCup Soccer; (ii) software agent teams participating in a simulated evacuation scenario. In the RoboCup domain, ISAAC was used prior to and during the RoboCup '99 tournament, and was awarded the RoboCup Scientific Challenge Award. In the evacuation domain, ISAAC was used to analyze patterns of message exchanges among software agents, illustrating the generality of ISAAC's techniques. We present detailed algorithms and experimental results from ISAAC's application.",,30
729,10.1109/robot.2004.1308015,,A hands-on laboratory based approach to undergraduate robotics education,cp,Conference Paper,Rawat K.S.,University of Louisiana at Lafayette,Lafayette,United States,Proceedings - IEEE International Conference on Robotics and Automation,Conference Proceeding,2004,1370-1374,26,"The paper describes the teaching experience gathered along four years, including the choices of robotics platform, simulator, typical experiments and projects we have conducted for students. We also discuss our efforts and plans to develop a hands-on laboratory course for the education in Robotics and Automation. The course is designed to the multidisciplinary and can be offered for engineering and non-engineering students. In order to offer hands-on experience in operating the robots and design of manufacturing works cells, a fully-equipped robotics laboratory has been established to provide basic as well as advanced experiments, to address the needs of students at different education levels.",,30
730,10.1109/icdcsw.2004.1284044,,A multimedia environment for supporting the teaching of robotics systems,cp,Conference Paper,Freire J.C.,UNESP-Universidade Estadual Paulista,Sao Paulo,Brazil,Proceedings - International Conference on Distributed Computing Systems,Conference Proceeding,24,280-285,4,"We describe an educational system for teaching and learning robotic systems. Multimedia resources were used to construct a virtual laboratory where users are able to use functionalities of a virtual robotic arm, by moving and clicking the mouse without caring about the detailed internal robot operation. Moreover, through the multimedia system the user can interact with a real robot arm. The engineering students are the target public of the developed system. With its contents and interactive capabilities, it has been used as a support to the traditional face-to-face classes on the subject of robotics. It is first introduced the metaphor of virtual laboratory used in the system. Next, it is described the graphical and multimedia environment approach: an interactive graphic user interface with a 3D environment for simulation. Design and implementation issues of the real-time interactive multimedia learning system, which supports the W3C SMIL standard for presenting the real-time multimedia teaching material, are described. Finally, some preliminary conclusions and possible future works from this research are presented.",,30
734,10.1145/604471.604535,,A 3D robot simulation for education,cp,Conference Paper,Dunn T.,Queensland University of Technology,Brisbane,Australia,"Proceedings of the 1st International Conference on Computer Graphics and Interactive Techniques in Australasia and South East Asia, GRAPHITE '03",Conference Proceeding,,277-278,11,"This paper describes the work-in-progress of creating an artificial 3D environment and robot, suitable for educational simulation. A visual 3D vehicle robot, equipped with a monocular camera navigates in a physics based 3D environment, with some artificial intelligence capabilities. Students can interact with the robot, add new objects and set the robot various tasks. This multimedia tool is designed for students with very little experience with robotics, and aims at giving students unlimited access to a relatively sophisticated robotic system, incorporating artificial intelligence, with an extremely low cost compared to using real robot systems. Our current version of the simulation software has been designed to perform three main tasks, play soccer, avoid object, and wander. The simulation is being designed to closely resemble its real-world counterparts, and we hope, will ultimately become a powerful research and development tool.",,30
736,10.1109/MRA.2003.1233552,,Introducing Parallel Manipulators through Laboratory Experiments,re,Review,Ebert-Uphoff I.,The George W. Woodruff School of Mechanical Engineering,Atlanta,United States,IEEE Robotics and Automation Magazine,Journal,10,13-19,11,"Describes how simple, inexpensive prototypes of parallel manipulators can be employed as an efficient educational tool to teach undergraduate students not only the basics of parallel manipulators but also reinforce material learned in linear algebra, kinematics, statics, and computer programming.",,30
738,10.1145/1047568.1047569,,Pyro: A Python-based Versatile Programming Environment for Teaching Robotics,ar,Article,Blank D.,Bryn Mawr College,Bryn Mawr,United States,ACM Journal on Educational Resources in Computing,Journal,3,1,2,"In this article we describe a programming framework called Pyro, which provides a set of abstractions that allows students to write platform-independent robot programs. This project is unique because of its focus on the pedagogical implications of teaching mobile robotics via a top-down approach. We describe the background of the project, its novel abstractions, its library of objects, and the many learning modules that have been created from which curricula for different types of courses can be drawn. Finally, we explore Pyro from the students' perspective in a case study.",,30
740,10.1016/S1474-6670(17)33660-1,,A web based lecture note on feedback control with remote lab,cp,Conference Paper,Ohyama Y.,Tokyo University of Technology,Hachioji,Japan,IFAC Proceedings Volumes (IFAC-PapersOnline),Conference Proceeding,36,91-96,1,"This paper describes a course on Feedback Control for beginners and its Web-based lecture notes. First, an outline of the lecture, which concerns a simple arm robot, is presented. Second, Web-based lecture notes on simulations of the control system, animations for the robot, and videos of experiments are discussed. Finally, a remote-controlled arm robot system accessible via the Internet is described.",,30
741,10.1007/978-3-540-24580-3_23,,jcc: Integrating timed default concurrent constraint programming into JAVA,ar,Article,Saraswat V.,Pennsylvania State University,University Park,United States,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Book Series,2902,156-170,9,"This paper describes jcc, an integration of the timed default concurrent constraint programming framework [16] (Timed Default cc) into Java [7]. jcc is intended for use in education and research, for the programming of embedded reactive systems, for parallel/distributed simulation and modelling (particularly for space, robotics and systems biology applications), and to support the development of constraint-based program analysis and type-checking tools.

In fully implementing the Timed Default cc framework, jcc supports the notion of (typed) logical variables (called “promises”, after [5]), allows the programmer to add his/her own constraint system (an implementation of the Herbrand constraint system is provided), implements (instantaneous) defaults via backtracking, implements a complete renewal of the constraint-store at each time instant, and implements bounded-time execution of the Timed cc control constructs.

jcc implements the notion of reactive vats [5] as single threads of execution within the JVM; a vat may be thought of as encapsulating a single synchronous, reactive Timed cc computation. A computation typically consists of a dynamically changing collection of interacting vats (some of which could potentially be located at different JVMs), with dynamically changing connectivity.

jcc programs fully inter-operate with Java programs, and compile into standard JVM byte-code. jcc programs fully respect the Javatype system; logical variables are typed. jcc is compatible with the Generic Java [3] extensions, thereby allowing the use of parameterized types. Indeed, jcc may be viewed as an extension of Java which replaces Java’s notoriously difficult imperative thread-based concurrency with the notion of reactive vats interacting via constraints on logical variables.

jcc source code is available under the Lesser GNU licence through SourceForge.",,30
742,10.1177/0037549703253455,,Visual interactive simulation for distance education,ar,Article,De Lara J.,Universidad Autónoma de Madrid,Madrid,Spain,Simulation,Journal,79,19-34,6,"The authors discuss the necessity of multiple flexible output forms in an educational Web simulation environment. Ideally, such an environment should allow the creation of visual, interactive simulations and their integration in the pages of the Web document being constructed. As a suitable candidate for this, the authors propose their system to generate documents for the Web that consists of three layers: continuous simulation language OOCSMP and its associated language layers SODA-1L and SODA- 2L. OOCSMP and SODA are compiled into Java applets and HTML/VRML pages by a compiler called C-OOL. Different output forms can be combined to solve and show the results of a simulation problem. The authors propose a procedure to guide the construction of educational courses on technical or scientific subjects with their tools. This procedure is used to enhance an existing educational Web course with a new page showing the simulation of a robot arm Unimation PUMA260.",,30
743,10.1145/949257.949259,,Quantitative Analysis of the Effects of Robots on Introductory Computer Science Education,ar,Article,Fagin B.,United States Air Force Academy,Colorado Springs,United States,ACM Journal on Educational Resources in Computing,Journal,2,2,52,"We report the results of a year-long experiment in the use of robots to teach computer science. Our data set compares results from over 800 students on identical tests from both robotics and nonrobotics-based laboratory sessions. We also examine the effectiveness of robots in encouraging students to select computer science or computer engineering as a field of study. Our results are negative: test scores were lower in the robotics sections than in the nonrobotics ones, nor did the use of robots have any measurable effect on students' choice of discipline. We believe the most significant factor that accounts for this is the lack of a simulator for our robotics programming system. Students in robotics sections must run and debug their programs on robots during assigned lab times, and are therefore deprived of both reflective time and the rapid compile-run-debug cycle outside of class that is an important part of the learning process. We discuss this and other issues, and suggest directions for future work.",,30
746,10.1061/40641(2002)70,,Comparison study of installing fiber optic cable in university campuses using trenchless techniques relative to open cut,cp,Conference Paper,Atalah A.,Bowling Green State University,Bowling Green,United States,Pipelines 2002 - Beneath Our Feet: Challengers and Solutions - Proceedings of the Pipeline Division Specialty Conference,Conference Proceeding,,70,5,"The downtowns and business districts of the metropolitan areas are characterized by high-density population, soaring volume of electronic data transfer, congested underground space, and aesthetic paved or landscaped ground surface. In recent years, many of these communities installed fiber optic networks to supply the required broadband. Consequently, trenchless solutions were sought to provide economical construction methods that diminish disturbance to the community. HDD and in-sewer fiber installations provide economical trenchless solutions. The in-sewer fiber technology uses robots in no-man entry gravity sewers and drains to install fiber optic networks. University campuses share the same above characteristics of downtowns and business districts. The universities need to transfer high volume of data for education, research and development, and administrative activities. It is imperative that every classroom, lab, office, and dorm on the university campus has a fast Internet connection. Also many universities are converting to distance learning (teaching classes via the Internet). Economical and efficient communication between the universities and research institutions amplifies the return on the limited funds allocated for research and development. This study evaluates the hypothesis that trenchless installation of the fiber optic network is more beneficial than open cut installation on university campuses. In the last five years, many universities installed their fiber optic network using the open cut technique, which has caused numerous inconveniences to their campuses. Bowling Green State University (BGSU) just completed the Supernet project where BGSU replaced its old copper backbone and main rings with fiber optics cables. The study uses the BGSU campus as a guide to simulate an average size campus. The simulated model was used to quantify and estimate the cost of the HDD, in-sewer fiber, and open cut solutions and to discuss the advantage and disadvantage of each solution. The research indicates that trenchless techniques are viable alternative construction methods for installing fiber networks on university campus.",,30
750,10.1109/IECON.2002.1182806,,Hardware in the loop simulation of robot manipulators through internet in mechatronics education,cp,Conference Paper,Temeltas H.,Istanbul Teknik Üniversitesi,Istanbul,Turkey,IECON Proceedings (Industrial Electronics Conference),Conference Proceeding,4,2617-2622,27,"This study is on the development of a remote simulation of robot manipulators using hardware-in-the-loop (HIL) system for mechatronics education. At this stage of the study, necessary hardware and software has been set-up and the actual torque components derived through Euler-Lagrange formulation have been simulated in real time on the test-bed, incorporating a joint actuator-disturbance (load) actuator pair. The required communication and user interfaces are implemented through the use of Internet technologies. The expected results have been obtained.",,30
